Stream,IQScore,CareerOutcome
Commerce,125.83135924122689,Engineering
Science,117.39273984463904,Data Science
Arts,128.54789765218183,Research Scientist
Commerce,123.7736924440248,Data Science
Commerce,115.99491585656216,Engineering
Science,127.57422691404737,Research Scientist
Commerce,109.31117596707678,Teaching
Arts,116.65352620920304,Engineering
Science,103.43702628379496,Psychology
Commerce,123.16191665086373,Engineering
Science,119.39608109332683,Computer Science
Commerce,122.61760902511224,Computer Science
Commerce,105.42916985956971,Social Work
Commerce,101.72057238434589,Teaching
Arts,106.43497766746769,Social Work
Arts,108.71700777180267,Psychology
Commerce,114.54803175280051,Writing/Author
Science,122.5767390139533,Data Science
Commerce,137.3932115158376,Data Science
Commerce,129.9422936798478,Computer Science
Science,122.6601793658475,Research Scientist
Arts,121.05288145977099,Computer Science
Science,122.55846187835921,Engineering
Arts,129.99353211085068,Research Scientist
Arts,126.24075564654858,Data Science
Commerce,104.68932042025304,Teaching
Arts,106.45540420774121,Teaching
Commerce,128.3344360739237,Research Scientist
Arts,113.38872692535878,Psychology
Commerce,96.98964724429052,Psychology
Arts,120.87680849389675,Data Science
Science,121.73305452922406,Engineering
Arts,116.70438336810653,Computer Science
Arts,115.93791806960935,Data Science
Science,123.62073603416623,Data Science
Commerce,111.93362815988345,Writing/Author
Commerce,118.8940219560184,Research Scientist
Science,98.92959310372183,Social Work
Science,101.56591531874008,Social Work
Arts,113.30053223074137,Teaching
Arts,120.91481236219244,Research Scientist
Science,119.90515796283152,Engineering
Science,131.6530560761915,Engineering
Arts,97.19227146282697,Psychology
Commerce,120.52969126254138,Research Scientist
Commerce,123.33744356607144,Research Scientist
Science,108.02969820168175,Teaching
Commerce,104.99552734971114,Writing/Author
Arts,120.50012219358825,Data Science
Science,121.59912201280449,Data Science
Commerce,91.65466300400175,Social Work
Science,124.59033001942615,Research Scientist
Arts,116.17480191436647,Engineering
Commerce,111.1370251404901,Social Work
Commerce,132.62039698849708,Computer Science
Arts,126.46066470419245,Engineering
Science,136.35171174155565,Computer Science
Science,118.15078679469546,Engineering
Arts,124.60381731349287,Computer Science
Science,110.50991697444672,Psychology
Commerce,127.29014372647458,Data Science
Arts,119.60490558631291,Engineering
Science,121.43704178314624,Engineering
Commerce,117.43526115752843,Engineering
Science,99.37233538727963,Writing/Author
Science,116.0648297377485,Data Science
Commerce,116.4179303250089,Research Scientist
Commerce,123.02122523173392,Data Science
Science,133.02381812770756,Data Science
Science,109.44269792504349,Social Work
Science,113.59461916025417,Psychology
Commerce,108.49282449847641,Psychology
Science,111.19783241150228,Writing/Author
Commerce,109.90144379136282,Psychology
Science,102.4523151370166,Teaching
Science,102.35923569810427,Teaching
Science,108.9061130158804,Social Work
Arts,110.47960827053554,Teaching
Arts,104.5888087187392,Teaching
Arts,114.16056959568388,Social Work
Science,128.88771785776706,Computer Science
Arts,118.87572616146856,Data Science
Science,111.35015623324715,Psychology
Arts,121.48685984093976,Data Science
Science,116.99211448636582,Computer Science
Arts,118.99747216645095,Research Scientist
Commerce,105.83453503326909,Writing/Author
